customer_id,first_name,last_name,email,phone,signup_date,country,is_active
6,Alice,,user6@example.com,9819713160,2023-07-13,VN,True
7,Frank,Hoang,user7@mail.com,9193355340,2023-12-05,SG,True
15,Charlie,,user15@mail.com,9666613510,2023-07-17,US,False
17,Eva,Pham,user17@mail.com,9708977650,2024-01-05,TH,True
20,Frank,Le,user20@mail.com,9177745840,2023-10-18,VN,True
22,,Hoang,user22@example.com,9384270730,2024-01-01,TH,False
23,Frank,Pham,user23@example.com,9262409080,2023-04-26,VN,True
24,Alice,Hoang,user24@mail.com,9889790950,2023-01-04,VN,True
25,Daisy,Nguyen,user25@example.com,9543493610,2023-09-21,SG,True
28,Henry,,user28@example.com,9977053100,2023-02-01,US,True
31,,Nguyen,user31@example.com,9417263180,2023-07-28,US,False
35,,Hoang,user35@mail.com,9176342470,2023-04-06,VN,True
39,Alice,Pham,user39@example.com,9198328870,2023-09-17,TH,True
49,Charlie,Tran,user49@example.com,9133267690,2024-01-13,TH,False
55,Grace,Hoang,user55@mail.com,9441882760,2023-12-29,US,True
62,Daisy,Tran,user62@mail.com,9132783200,2023-05-06,US,True
69,Charlie,Tran,user69@mail.com,9614101260,2023-12-28,SG,True
72,Eva,Pham,user72@example.com,9822387410,2023-09-07,SG,True
74,Henry,Tran,user74@example.com,9628845030,2023-02-12,US,True
77,Alice,,user77@example.com,9569708820,2023-11-29,VN,True
78,Alice,Tran,user78@mail.com,9127353590,2023-05-03,SG,False
81,Grace,,user81@mail.com,9202000740,2023-02-22,TH,True
86,Frank,Nguyen,user86@example.com,9536226630,2023-09-07,SG,True
88,Bob,Tran,user88@example.com,9755758080,2023-12-20,US,False
89,Henry,Nguyen,user89@example.com,9494916310,2023-07-27,SG,True
91,Eva,Le,user91@mail.com,9261941580,2023-06-11,VN,True
96,Alice,Le,user96@example.com,9253125160,2023-07-25,US,True
99,Grace,Le,user99@example.com,9918232750,2024-01-26,SG,True
103,Daisy,Pham,user103@example.com,9830899250,2023-11-28,SG,True
107,Bob,Tran,user107@example.com,9461731570,2024-01-26,SG,False
108,,,user108@example.com,9473335430,2023-10-27,US,False
112,,Pham,user112@example.com,9172751490,2023-09-23,TH,False
113,Henry,Nguyen,user113@mail.com,9458436810,2023-05-28,US,False
115,Bob,Tran,user115@example.com,9719344870,2023-11-28,SG,False
117,,Tran,user117@example.com,9355832900,2023-02-05,TH,False
