customer_id,first_name,last_name,email,phone,signup_date,country,is_active
1,Bob,Nguyen,,942868828.0,2023-03-13,VN,True
2,Grace,Nguyen,user2@example.com,922575562.0,2023-04-30,,True
3,,Tran,user3@example.com,,2023-10-29,TH,True
4,Charlie,,user4@example.com,,2023-03-21,SG,True
5,Bob,Nguyen,user5@example.com,,2023-06-26,,True
6,Alice,,user6@example.com,981971316.0,2023-07-13,VN,True
7,Frank,Hoang,user7@mail.com,919335534.0,2023-12-05,SG,True
8,Bob,Tran,user8@example.com,,2023-08-21,TH,True
9,Frank,Le,user9@mail.com,,2023-12-26,VN,True
10,,,user10@mail.com,,2023-07-14,TH,True
11,Frank,Nguyen,user11@mail.com,,2023-07-25,TH,True
12,Daisy,Hoang,,,2023-07-22,US,True
13,Eva,Tran,user13@mail.com,,2024-01-18,,False
14,Grace,Le,user14@mail.com,,2023-02-16,VN,True
15,Charlie,,user15@mail.com,966661351.0,2023-07-17,US,False
16,,Le,user16@example.com,,2024-01-29,TH,True
17,Eva,Pham,user17@mail.com,970897765.0,2024-01-05,TH,True
18,,Nguyen,,995758349.0,2023-03-20,TH,True
19,,Hoang,user19@example.com,,2023-09-08,VN,True
20,Frank,Le,user20@mail.com,917774584.0,2023-10-18,VN,True
21,Henry,Nguyen,user21@mail.com,,2023-10-09,SG,True
22,,Hoang,user22@example.com,938427073.0,2024-01-01,TH,False
23,Frank,Pham,user23@example.com,926240908.0,2023-04-26,VN,True
24,Alice,Hoang,user24@mail.com,988979095.0,2023-01-04,VN,True
25,Daisy,Nguyen,user25@example.com,954349361.0,2023-09-21,SG,True
26,Henry,Tran,user26@mail.com,,2023-05-05,US,False
27,Daisy,Nguyen,user27@example.com,,2023-07-01,US,False
28,Henry,,user28@example.com,997705310.0,2023-02-01,US,True
29,Bob,Tran,user29@mail.com,,2023-03-13,US,True
30,Eva,Pham,user30@mail.com,,2023-10-09,VN,True
31,,Nguyen,user31@example.com,941726318.0,2023-07-28,US,False
32,Daisy,Pham,user32@example.com,,2023-01-02,US,True
33,Henry,Le,user33@example.com,,2023-03-21,SG,True
34,Daisy,Nguyen,user34@example.com,952091325.0,2023-01-26,,False
35,,Hoang,user35@mail.com,917634247.0,2023-04-06,VN,True
36,Daisy,Pham,user36@example.com,986460539.0,2023-10-24,,True
